,subject,number,exam,title,CRN,time,seats,location,instructor,foundation,division,area,connection,textbook,special_info,hidden_days
98,MGMT,"ClassNumber(num='MGMT-350 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=MGMT&crse_numb_in=350&crn_in=10417&seq_numb_in=A01')","ClassExam(letter='M', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=M&course=MGMT-350 A01&term_code=201910&term_desc=Fall 2018&crn=10417')",Marketing,10417,['T R 9:30 AM - 10:50 AM'],"SeatInfo(max='Max Enroll: 25', taken='Seats Taken: 24', avail='Seats Avail: 1', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Bray, Kenneth A.', link='https://wheatoncollege.edu/academics/faculty-directory/Kenneth-Bray/')]",,DVSS,ARSS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=MGMT&course-1=350&section-1=A01,Permission of Instructor. ,Tuesday Thursday 9:30  - 10:50 
99,MGMT,"ClassNumber(num='MGMT-350 A02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=MGMT&crse_numb_in=350&crn_in=10418&seq_numb_in=A02')","ClassExam(letter='I', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=I&course=MGMT-350 A02&term_code=201910&term_desc=Fall 2018&crn=10418')",Marketing,10418,['T R 12:30 PM - 1:50 PM'],"SeatInfo(max='Max Enroll: 25', taken='Seats Taken: 25', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Bray, Kenneth A.', link='https://wheatoncollege.edu/academics/faculty-directory/Kenneth-Bray/')]",,DVSS,ARSS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=MGMT&course-1=350&section-1=A02,Permission of Instructor. ,Tuesday Thursday 12:30  - 1:50 
100,MGMT,"ClassNumber(num='MGMT-350 A03', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=MGMT&crse_numb_in=350&crn_in=10419&seq_numb_in=A03')","ClassExam(letter='H', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=H&course=MGMT-350 A03&term_code=201910&term_desc=Fall 2018&crn=10419')",Marketing,10419,['M W 12:30 PM - 1:50 PM'],"SeatInfo(max='Max Enroll: 25', taken='Seats Taken: 10', avail='Seats Avail: 15', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Chapman, Charles', link='https://wheatoncollege.edu/academics/faculty-directory/Charles-Chapman/')]",,DVSS,ARSS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=MGMT&course-1=350&section-1=A03,Cross-listed with FNMS 350. Prerequisite: MGMT 250. Open to Seniors and Juniors. Limited to 25. ,Monday Wednesday 12:30  - 1:50 
101,MGMT,"ClassNumber(num='MGMT-401 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=MGMT&crse_numb_in=401&crn_in=10420&seq_numb_in=A01')","ClassExam(letter='O', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=O&course=MGMT-401 A01&term_code=201910&term_desc=Fall 2018&crn=10420')",Senior Seminar,10420,['T 2:00 PM - 4:50 PM'],"SeatInfo(max='Max Enroll: 15', taken='Seats Taken: 17', avail='Seats Avail: -2', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Bray, Kenneth A.', link='https://wheatoncollege.edu/academics/faculty-directory/Kenneth-Bray/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=MGMT&course-1=401&section-1=A01,Permission of Instructor. ,Tuesday 2:00  - 4:50 
102,MGMT,"ClassNumber(num='MGMT-401 A02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=MGMT&crse_numb_in=401&crn_in=10421&seq_numb_in=A02')","ClassExam(letter='K', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=K&course=MGMT-401 A02&term_code=201910&term_desc=Fall 2018&crn=10421')",Senior Seminar,10421,['W 2:00 PM - 4:50 PM'],"SeatInfo(max='Max Enroll: 15', taken='Seats Taken: 16', avail='Seats Avail: -1', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Wu, Szu-Yin', link='https://wheatoncollege.edu/academics/faculty-directory/jennifer-wu/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=MGMT&course-1=401&section-1=A02,Permission of Instructor. ,Wednesday 2:00  - 4:50 
103,CHEM,"ClassNumber(num='CHEM-153 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=153&crn_in=10063&seq_numb_in=A01')","ClassExam(letter='A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=A&course=CHEM-153 A01&term_code=201910&term_desc=Fall 2018&crn=10063')",Chemical Principles,10063,['M W F 8:30 AM - 9:20 AM'],"SeatInfo(max='Max Enroll: 50', taken='Seats Taken: 50', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Kalberg, Christopher S.', link='https://wheatoncollege.edu/academics/faculty-directory/Christopher-Kalberg/')]",,DVNS,ARNS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=153&section-1=A01,Prerequisite: Chemistry in secondary school. A lab section must be selected with the course. 30 seats reserved for First Year students. Limited to 42. ,Monday Wednesday Friday 8:30  - 9:20 
104,CHEM,"ClassNumber(num='CHEM-153 A02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=153&crn_in=10072&seq_numb_in=A02')","ClassExam(letter='B', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=B&course=CHEM-153 A02&term_code=201910&term_desc=Fall 2018&crn=10072')",Chemical Principles,10072,['M W F 9:30 AM - 10:20 AM'],"SeatInfo(max='Max Enroll: 110', taken='Seats Taken: 101', avail='Seats Avail: 9', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Evans, Matthew J.', link='https://wheatoncollege.edu/academics/faculty-directory/Matthew-Evans/'), ClassInstructor(name='Gaudet, Hilary T.', link='https://wheatoncollege.edu/academics/faculty-directory/hilary-magruder-gaudet/')]",,DVNS,ARNS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=153&section-1=A02,Prerequisite: Chemistry in secondary school. A lab section must be selected with the course. 50 seats reserved for First Year students. Limited to 84. ,Monday Wednesday Friday 9:30  - 10:20 
105,CHEM,"ClassNumber(num='CHEM-153 A03', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=153&crn_in=10405&seq_numb_in=A03')","ClassExam(letter='B', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=B&course=CHEM-153 A03&term_code=201910&term_desc=Fall 2018&crn=10405')",Chemical Principles,10405,['M W F 9:30 AM - 10:20 AM'],"SeatInfo(max='Max Enroll: 0', taken='Seats Taken: 0', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Gaudet, Hilary T.', link='https://wheatoncollege.edu/academics/faculty-directory/hilary-magruder-gaudet/')]",,DVNS,ARNS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=153&section-1=A03,Permission of Instructor. ,Monday Wednesday Friday 9:30  - 10:20 
106,CHEM,"ClassNumber(num='CHEM-153 L01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=153&crn_in=10064&seq_numb_in=L01')","ClassExam(letter='', link='')",Chemical Principles Lab,10064,['M 2:00 PM - 4:50 PM'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 20', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],[],,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=153&section-1=L01,A lecture section must be selected with lab. Limited to 18. ,Monday 2:00  - 4:50 
107,CHEM,"ClassNumber(num='CHEM-153 L02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=153&crn_in=10065&seq_numb_in=L02')","ClassExam(letter='', link='')",Chemical Principles Lab,10065,['T 2:00 PM - 4:50 PM'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 20', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],[],,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=153&section-1=L02,A lecture section must be selected with lab. Limited to 18. ,Tuesday 2:00  - 4:50 
108,CHEM,"ClassNumber(num='CHEM-153 L03', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=153&crn_in=10066&seq_numb_in=L03')","ClassExam(letter='', link='')",Chemical Principles Lab,10066,['W 2:00 PM - 4:50 PM'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 20', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],[],,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=153&section-1=L03,A lecture section must be selected with lab. Limited to 18. ,Wednesday 2:00  - 4:50 
109,CHEM,"ClassNumber(num='CHEM-153 L04', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=153&crn_in=10067&seq_numb_in=L04')","ClassExam(letter='', link='')",Chemical Principles Lab,10067,['R 2:00 PM - 4:50 PM'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 20', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],[],,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=153&section-1=L04,A lecture section must be selected with lab. Limited to 18. ,Thursday 2:00  - 4:50 
110,CHEM,"ClassNumber(num='CHEM-153 L05', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=153&crn_in=10068&seq_numb_in=L05')","ClassExam(letter='', link='')",Chemical Principles Lab,10068,['M 6:00 PM - 8:50 PM'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 20', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],[],,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=153&section-1=L05,A lecture section must be selected with lab. Limited to 18. ,Monday 6:00  - 8:50 
111,CHEM,"ClassNumber(num='CHEM-153 L06', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=153&crn_in=10069&seq_numb_in=L06')","ClassExam(letter='', link='')",Chemical Principles Lab,10069,['T 6:00 PM - 8:50 PM'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 20', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],[],,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=153&section-1=L06,A lecture section must be selected with lab. Limited to 18. ,Tuesday 6:00  - 8:50 
112,CHEM,"ClassNumber(num='CHEM-153 L07', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=153&crn_in=10070&seq_numb_in=L07')","ClassExam(letter='', link='')",Chemical Principles Lab,10070,['T 8:00 AM - 10:50 AM'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 20', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],[],,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=153&section-1=L07,A lecture section must be selected with lab. Limited to 18. ,Tuesday 8:00  - 10:50 
113,CHEM,"ClassNumber(num='CHEM-153 L08', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=153&crn_in=10577&seq_numb_in=L08')","ClassExam(letter='', link='')",Chemical Principles,10577,['R 6:00 PM - 8:50 PM'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 12', avail='Seats Avail: 8', wait_list='Wait List: 0')",['Location info TBA'],[],,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=153&section-1=L08,A lecture section must be selected with lab. Limited to 18. ,Thursday 6:00  - 8:50 
114,CHEM,"ClassNumber(num='CHEM-199 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=199&crn_in=10574&seq_numb_in=A01')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=CHEM-199 A01&term_code=201910&term_desc=Fall 2018&crn=10574')",Independent Study,10574,['TBA'],"SeatInfo(max='Max Enroll: 1', taken='Seats Taken: 1', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Gaudet, Hilary T.', link='https://wheatoncollege.edu/academics/faculty-directory/hilary-magruder-gaudet/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=199&section-1=A01,,
115,CHEM,"ClassNumber(num='CHEM-254 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=254&crn_in=10071&seq_numb_in=A01')","ClassExam(letter='D', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=D&course=CHEM-254 A01&term_code=201910&term_desc=Fall 2018&crn=10071')",Organic Chemistry II,10071,['M W F 11:30 AM - 12:20 PM'],"SeatInfo(max='Max Enroll: 60', taken='Seats Taken: 51', avail='Seats Avail: 9', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Lane, Nancy S.', link='https://wheatoncollege.edu/academics/faculty-directory/Nancy-Lane/'), ClassInstructor(name='Gaudet, Hilary T.', link='https://wheatoncollege.edu/academics/faculty-directory/hilary-magruder-gaudet/')]",,DVNS,ARNS,"[ClassConx(num='2069', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CONX&crse_numb_in=20069&crn_in=&seq_numb_in=')]",https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=254&section-1=A01,Prerequisite: CHEM 253 or Permission of the Instructor. Lab section must be taken with course. Limited to 60. ,Monday Wednesday Friday 11:30  - 12:20 
116,CHEM,"ClassNumber(num='CHEM-254 A02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CHEM&crse_numb_in=254&crn_in=10073&seq_numb_in=A02')","ClassExam(letter='D', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=D&course=CHEM-254 A02&term_code=201910&term_desc=Fall 2018&crn=10073')",Organic Chemistry II,10073,['M W F 11:30 AM - 12:20 PM'],"SeatInfo(max='Max Enroll: 0', taken='Seats Taken: 0', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Gaudet, Hilary T.', link='https://wheatoncollege.edu/academics/faculty-directory/hilary-magruder-gaudet/')]",,DVNS,ARNS,"[ClassConx(num='2069', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CONX&crse_numb_in=20069&crn_in=&seq_numb_in=')]",https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=CHEM&course-1=254&section-1=A02,Permission of Instructor. ,Monday Wednesday Friday 11:30  - 12:20 
